time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,validation
2018-12-07 11:14:00,1,0,0,0,0,0,0
2018-12-07 11:14:01,1,0,0,0,0,0,0
2018-12-07 11:14:02,1,0,0,0,0,0,0
2018-12-07 11:14:03,1,0,0,0,0,0,0
2018-12-07 11:14:05,1,0,0,0,0,0,0
2018-12-07 11:14:06,2,0,0,0,0,0,0
2018-12-07 11:14:09,1,0,0,0,0,0,0
2018-12-07 11:14:11,1,0,0,0,0,0,0
2018-12-07 11:14:12,1,0,0,0,0,0,0
2018-12-07 11:14:14,2,0,0,0,0,0,0
2018-12-07 11:14:15,1,0,0,0,0,0,0
2018-12-07 11:14:18,2,0,0,0,0,0,0
2018-12-07 11:14:19,1,0,0,0,0,0,0
2018-12-07 11:14:22,1,0,0,0,0,0,0
2018-12-07 11:14:26,1,0,0,0,0,0,0
2018-12-07 11:14:27,1,0,0,0,1,0,0
2018-12-07 11:14:29,1,0,0,0,0,0,0
2018-12-07 11:14:34,1,0,0,0,0,0,0
2018-12-07 11:14:36,1,0,0,0,0,0,0
2018-12-07 11:14:38,1,0,0,1,0,0,0
2018-12-07 11:14:39,1,0,0,0,0,0,0
2018-12-07 11:14:41,1,0,0,0,0,0,0
2018-12-07 11:14:42,2,0,0,0,0,0,0
2018-12-07 11:14:45,1,3,0,0,0,0,0
2018-12-07 11:14:47,3,0,0,0,0,0,0
2018-12-07 11:14:48,1,0,0,0,0,0,0
2018-12-07 11:14:50,3,0,0,0,0,0,0
2018-12-07 11:14:52,1,0,0,0,0,0,0
2018-12-07 11:14:53,1,0,0,0,0,0,0
2018-12-07 11:14:54,2,20,0,0,0,0,0
2018-12-07 11:14:57,1,0,0,0,0,0,0
2018-12-07 11:14:58,1,0,0,0,0,0,0
2018-12-07 11:15:00,1,0,0,0,0,0,0
2018-12-07 11:15:01,1,0,0,0,0,0,0
2018-12-07 11:15:04,1,0,0,0,0,0,0
2018-12-07 11:15:05,1,0,0,1,0,0,0
2018-12-07 11:15:06,1,0,0,0,0,0,0
2018-12-07 11:15:07,1,0,0,0,0,0,0
2018-12-07 11:15:09,1,0,0,0,0,0,0
2018-12-07 11:15:11,1,0,0,0,0,0,0
2018-12-07 11:15:12,1,0,0,0,0,0,0
2018-12-07 11:15:14,1,0,0,0,0,0,0
2018-12-07 11:15:15,2,0,0,0,0,0,0
2018-12-07 11:15:16,1,0,0,0,0,0,0
2018-12-07 11:15:17,1,0,0,1,0,0,0
2018-12-07 11:15:18,1,0,0,0,0,0,0
2018-12-07 11:15:19,5,50,0,0,0,0,0
2018-12-07 11:15:20,1,8,0,0,0,0,0
2018-12-07 11:15:21,2,0,0,0,0,0,0
2018-12-07 11:15:22,2,4,0,0,0,0,0
2018-12-07 11:15:23,3,20,0,0,0,0,0
2018-12-07 11:15:24,3,3,0,0,0,0,0
2018-12-07 11:15:25,2,0,0,0,0,0,0
2018-12-07 11:15:26,4,2,0,0,0,0,0
2018-12-07 11:15:28,1,0,0,0,0,0,0
2018-12-07 11:15:31,1,0,0,0,0,0,0
2018-12-07 11:15:32,2,0,0,0,0,0,0
2018-12-07 11:15:33,2,0,0,0,0,0,0
2018-12-07 11:15:34,1,0,0,0,0,0,0
2018-12-07 11:15:35,2,0,0,0,0,0,0
2018-12-07 11:15:36,3,0,0,0,0,0,0
2018-12-07 11:15:37,3,4,0,0,0,0,0
2018-12-07 11:15:38,2,4,0,0,0,0,0
2018-12-07 11:15:39,3,0,0,0,0,0,0
2018-12-07 11:15:40,3,2,0,0,0,0,0
2018-12-07 11:15:41,3,0,0,0,0,0,0
2018-12-07 11:15:43,4,3,0,0,0,0,0
2018-12-07 11:15:44,1,0,0,0,0,0,0
2018-12-07 11:15:45,1,0,0,0,0,0,0
2018-12-07 11:15:46,2,0,0,0,0,0,0
2018-12-07 11:15:48,2,0,0,0,0,0,0
2018-12-07 11:15:49,4,6,0,0,0,0,0
2018-12-07 11:15:50,5,13,0,0,0,0,0
2018-12-07 11:15:52,3,4,0,0,0,0,0
2018-12-07 11:15:53,1,10,0,0,0,0,0
2018-12-07 11:15:54,2,0,0,0,0,0,0
2018-12-07 11:15:55,2,0,0,0,0,0,0
2018-12-07 11:15:56,2,0,0,0,0,0,0
2018-12-07 11:15:57,1,0,0,0,0,0,0
